,#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
13,14,Indonesia,"4,218,142","+1,414","142,115",+89,"4,042,215","+2,380","33,812",,"15,221",513,"39,630,509","143,002","277,133,321"
14,15,Mexico,"3,671,611","+7,388","277,976",+471,"3,021,124","+7,924","372,511","4,798","28,108","2,128","10,702,352","81,933","130,623,369"
15,16,Poland,"2,909,776","+1,344","75,689",+23,"2,663,707",+620,"170,380",174,"76,989","2,003","20,985,041","555,236","37,794,804"
16,17,South Africa,"2,904,307",,"87,705",,"2,776,990",,"39,612",546,"48,211","1,456","17,727,831","294,279","60,241,635"
17,18,Philippines,"2,580,173","+14,786","38,656",+164,"2,397,456",+894,"144,061","3,170","23,161",347,"21,193,050","190,242","111,400,560"
18,19,Ukraine,"2,447,222","+11,809","56,649",+203,"2,261,924","+3,469","128,649",177,"56,381","1,305","12,922,388","297,715","43,405,224"
19,20,Malaysia,"2,257,584",,"26,456",,"2,070,715",,"160,413",900,"68,654",805,"30,370,550","923,584","32,883,361"
20,21,Peru,"2,177,283",,"199,423",,N/A,N/A,N/A,999,"64,907","5,945","17,950,693","535,126","33,544,779"
21,22,Iraq,"2,007,227","+1,236","22,344",+42,"1,919,106","+3,803","65,777",461,"48,546",540,"15,254,306","368,936","41,346,765"
22,23,Netherlands,"2,006,421","+1,658","18,181",+5,"1,928,479","+2,767","59,761",142,"116,773","1,058","17,349,702","1,009,746","17,182,240"
23,24,Japan,"1,702,819","+1,447","17,683",+35,"1,659,925","+3,611","25,211",719,"13,515",140,"24,906,238","197,680","125,992,459"
24,25,Czechia,"1,693,234",+824,"30,477",+1,"1,654,465",+28,"8,292",32,"157,748","2,839","38,329,587","3,570,923","10,733,804"
25,26,Chile,"1,655,884",+813,"37,484",+8,"1,611,035",+721,"7,365",364,"85,704","1,940","21,947,103","1,135,917","19,321,050"
26,27,Canada,"1,630,573","+1,431","27,933",+12,"1,557,221",+691,"45,419",776,"42,735",732,"43,456,266","1,138,933","38,155,253"
27,28,Thailand,"1,626,604","+11,375","16,937",+87,"1,496,273","+13,127","113,394","3,324","23,231",242,"9,201,621","131,416","70,018,796"
